mapping,t_B2RBlue,t_B2RGreen,t_B2RRed,t_DCTBlue,t_DCTGreen,t_DCTRed,t_IDCTBlue,t_IDCTGreen,t_IDCTRed,t_IQBlue,t_IQGreen,t_IQRed,t_QBlue,t_QGreen,t_QRed,t_R2BBlue,t_R2BGreen,t_R2BRed,t_RLD,t_RLE,t_Sink,t_Source,t_ZZD,t_ZZE,asapScheduling,energyConsumption,executionTime,listScheduling,memorySize,platformSize
11,ARM06,ARM06,ARM06,ARM06,ARM05,ARM04,ARM06,ARM07,ARM05,ARM00,ARM07,ARM04,ARM00,ARM05,ARM04,ARM04,ARM04,ARM04,ARM07,ARM07,ARM06,ARM04,ARM07,ARM07,5483933567,8.80713e+10,13664821588,6560625699,5320,7
10,ARM06,ARM06,ARM06,ARM05,ARM04,ARM04,ARM06,ARM06,ARM04,ARM00,ARM00,ARM04,ARM00,ARM00,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM06,ARM04,ARM04,ARM04,5483933567,8.68849e+10,21333092923,7579925769,5320,6
1,ARM01,ARM01,ARM01,ARM01,ARM01,ARM00,ARM01,ARM01,ARM01,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM01,ARM00,ARM00,ARM00,11617953087,3.52721e+10,52720793478,32361344436,5320,2
19,ARM07,ARM07,ARM07,ARM07,ARM06,ARM04,ARM07,ARM05,ARM06,ARM00,ARM05,ARM04,ARM00,ARM05,ARM05,ARM04,ARM04,ARM04,ARM05,ARM05,ARM07,ARM04,ARM05,ARM05,5483933567,8.76056e+10,13967511433,6835996476,5320,5
4,ARM04,ARM04,ARM04,ARM02,ARM01,ARM03,ARM04,ARM04,ARM00,ARM01,ARM01,ARM04,ARM01,ARM01,ARM03,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM03,ARM03,5483933567,6.61328e+10,23730375722,11376826611,5320,5
12,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM00,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,5483933567,8.6412e+10,37976975856,15520301567,5320,3
9,ARM05,ARM05,ARM05,ARM05,ARM04,ARM04,ARM05,ARM05,ARM04,ARM00,ARM00,ARM04,ARM00,ARM00,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM05,ARM04,ARM04,ARM04,5483933567,8.73173e+10,21335950063,9510084148,5320,5
20,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,5483933567,8.63705e+10,38048689473,28920323927,5320,1
2,ARM02,ARM02,ARM02,ARM01,ARM00,ARM01,ARM02,ARM02,ARM01,ARM00,ARM00,ARM01,ARM00,ARM00,ARM01,ARM00,ARM00,ARM00,ARM01,ARM01,ARM02,ARM00,ARM01,ARM01,11617953087,3.31791e+10,38264483442,21754011361,5320,3
13,ARM04,ARM04,ARM04,ARM05,ARM05,ARM05,ARM04,ARM04,ARM04,ARM04,ARM05,ARM00,ARM05,ARM05,ARM05,ARM05,ARM05,ARM05,ARM05,ARM05,ARM04,ARM05,ARM05,ARM05,5483933567,8.69215e+10,19915314717,10361332134,5320,4
3,ARM01,ARM01,ARM01,ARM03,ARM00,ARM00,ARM01,ARM02,ARM03,ARM00,ARM02,ARM00,ARM00,ARM03,ARM02,ARM00,ARM00,ARM00,ARM02,ARM02,ARM01,ARM00,ARM02,ARM02,11617953087,3.33711e+10,24103212586,16323127543,5320,4
18,ARM06,ARM06,ARM06,ARM05,ARM04,ARM06,ARM06,ARM04,ARM05,ARM00,ARM04,ARM00,ARM00,ARM06,ARM06,ARM06,ARM06,ARM06,ARM06,ARM06,ARM06,ARM06,ARM00,ARM06,5483933567,8.36957e+10,19984907482,8551701305,5320,4
23,ARM06,ARM06,ARM06,ARM06,ARM05,ARM04,ARM06,ARM07,ARM05,ARM04,ARM07,ARM04,ARM04,ARM04,ARM07,ARM04,ARM04,ARM04,ARM07,ARM07,ARM06,ARM04,ARM07,ARM07,5483933567,8.73231e+10,13755289400,7386597034,5320,4
